Meter #,Service Delivery Point,Meter Type,Meter Size,Longitude,Latitude
3000027663,2024102,Water Residential Outside,0.75,1421882.639,825886.1127
3000028376,2178807,Water Residential Inside,0.75,0,0
3000028628,2182355,Water Residential Inside,0.75,0,0
3000028021,2182356,Water Residential Inside,0.75,0,0
3000028629,2102640,Water Residential Outside,0.75,0,0
3000022181,2112345,Water Commercial Inside,1,30.22387961,-97.50181583
3000022663,2105261,Water Commercial Inside,1,30.23768224,-97.38699029
3000024210,2094034,Water Commercial Inside,2,30.25709254,-97.38677921
3000008325,2123967,Water Commercial Inside,6,30.2577945,-97.38304804
3000013086,2123969,Irrigation Commercial Inside,3,30.2582258,-97.38306468
3000017250,2174400,Water Commercial Inside,4,30.27316095,-97.37853261
3000017205,2172478,Water Commercial Inside,3,30.27600543,-97.38745653
3000013018,2097364,Water Residential Inside,3,30.28057191,-97.40306448
3000017438,2182961,Irrigation Commercial Inside,1,0,0
3000022922,2151840,Water Residential Outside,0.75,30.28367841,-97.44445794
3000027811,2147405,Water Residential Inside,0.75,30.28901802,97.41786441
9208110426,2083720,Water Commercial Inside,0.75,30.28946226,-97.41110314
3000020898,2170622,Water Commercial Inside,4,30.2896887,-97.40397945
3000020208,2105822,Water Residential Inside,2,30.2975819,-97.41376158
3000019454,2040492,Water Residential Outside,0.75,30.31750057,-97.35470775
3000021049,2105897,Water Commercial Outside,1.5,30.35518618,-97.28978651
3000028923,2183626,Water Residential Inside,0.75,0,0
3000028020,2155062,Water Residential Inside,0.75,0,0
3000022888,2031029,Water Residential Outside,0.75,30.21851844,-97.30842456
3000024763,2031030,Water Residential Outside,0.75,30.21883761,-97.30851962
3000006881,2031548,Water Residential Outside,0.75,30.21951045,-97.32460882
3000006844,2031552,Water Residential Outside,0.75,30.21836833,-97.324672
3000006840,2031555,Water Residential Outside,0.75,30.21830869,-97.32547887
3000018675,2035409,Water Residential Outside,0.75,30.22682545,-97.30928725
3000023024,2022894,Water Residential Inside,0.75,30.21109346,-97.38065961
3000019331,2035672,Water Commercial Outside,0.75,30.24578147,-97.37007211
3000019127,2039988,Water Residential Outside,0.75,30.27410123,-97.32004845
3000019143,2039993,Water Residential Outside,0.75,30.27430715,-97.32167973
3000024883,2044045,Water Residential Inside,0.75,30.31673823,-97.37858608
3000026350,2044466,Water Residential Inside,0.75,30.32360036,-97.37029788
3000024593,2044497,Water Commercial Inside,0.75,30.32440255,-97.37243968
3000017740,2169953,Water Residential Outside,0.75,30.16487441,-97.40052752
3000005679,2154571,Water Residential Inside,0.75,30.29709859,-97.42788609
3000005268,2034162,Water Residential Outside,0.75,30.21310336,-97.31788321
3000006821,2034165,Water Residential Outside,0.75,30.21249413,-97.31759208
3000006822,2034166,Water Residential Outside,0.75,30.21249662,-97.31854353
3000006865,2034169,Water Residential Outside,0.75,30.21258794,-97.31885165
3000021832,2010515,Water Commercial Outside,0.75,30.14513125,-97.39888771
3000005548,2176881,Water Residential Outside,0.75,30.16491754,-97.31787132
3000016383,2174111,Water Commercial Inside,4,30.25511175,-97.38298269
3000004742,2172640,Water Residential Inside,0.75,30.32988556,-97.34366485
3000024726,2175790,Water Residential Inside,0.75,30.15712379,-97.46004807
3000018928,2174717,Water Residential Inside,0.75,30.30144834,-97.42668139
3000018926,2164808,Water Residential Outside,0.75,30.24703173,-97.31434606
3000019478,2174692,Water Residential Inside,0.75,30.30101271,-97.42635342
3000018849,2178743,Water Residential Inside,0.75,30.18180543,-97.4212391
3000019134,2176915,Irrigation Commercial Inside,0.75,30.25043529,-97.38529387
3000019246,2174857,Water Residential Outside,0.75,30.16315576,-97.34242283
